# Ch Shift [ppm]         Intensity [arb]
4.94240036     -0.00341535
5.34654062      0.01362526
5.48103393     -0.01352983
5.72144358     -0.02962094
5.97842725     -0.10792436
6.30495735      0.08369806
6.45551406      0.00789721
6.79061605      0.02323168
6.97147558      0.04645734
7.33865288      0.00947310
7.59503653      0.06924362
7.70041553     -0.07180286
8.03631341      0.02828347
8.27616427      0.02764004
8.48757596     -0.00970310
8.81343555      0.09911688
9.11817646      0.02765446
9.28860108     -0.03591162
9.53746018      0.03904319
9.84767056     -0.11046822
10.03916352      0.00731976
10.32571749      0.04304252
10.57192042      0.07878735
10.85226804     -0.05826837
11.05425338     -0.00197642
11.26003072      0.02589926
11.47806547      0.04453434
11.76104620     -0.04566226
11.99275865      0.07299252
12.34870661      0.07412680
12.61926864      0.01833985
12.77628873      0.18176523
13.10805770     -0.01494685
13.32305145      0.03733465
13.55394401      0.01522014
13.81063832      0.05635203
14.10238731     -0.02286067
14.35033835      0.02182616
14.50426231      0.00912854
14.98240573      0.13680847
15.05697198      0.09573959
15.44016101      0.03325270
15.55440342      0.09202299
15.86739743      0.19937520
16.14556043      0.20883638
16.33387703      0.19795531
16.52239474      0.32852221
16.82578194      0.38315705
17.14577585      0.54652813
17.35574086      0.91897883
17.59886305      1.28663997
17.91635025      1.87292599
18.10978345      2.30027834
18.35563434      2.33043677
18.65722348      1.68630609
18.89429102      1.13648337
19.17608750      0.71239512
19.41005035      0.53486180
19.56734286      0.41650124
19.91175642      0.28049822
20.21850298      0.18705890
20.42787136      0.24530027
20.66618526      0.10357191
20.90064378      0.10824232
21.13952120      0.21850687
21.44609685      0.08563863
21.69945537      0.07113216
21.94341464      0.06336680 
22.16797307      0.18459403
22.32246724      0.05169295
22.78269984      0.05843629
22.87157862      0.05249438
23.19793443     -0.02030343
23.47005836      0.03453720
23.68957607      0.03513730
23.99403025      0.11173560
24.11663256     -0.03471740
24.45208976      0.00375359
24.68436770      0.00953117
24.97340348     -0.00393709
25.15951916     -0.01046617
25.46445841      0.01303720
25.63634535      0.00452486
25.94060522      0.05181951
26.21087810      0.04096953
26.41666402      0.08802869
26.76447818     -0.03851441
26.85623083      0.02555238
27.22082119      0.08030014
27.48517064      0.01257812
27.75916278      0.05765571
27.97568745      0.04900020
28.19089717     -0.04432219
28.52111445      0.08342291
28.78195539     -0.08807736
29.00600959     -0.02096994
29.28870639      0.13244262
29.53319703     -0.01296697
29.83209096      0.00367040
30.10610287      0.00861848
